code,title,credits,basket,department
UCS531,Cloud Computing,3.0,Elective I,Computer Engineering
UCS532,Computer Vision,3.0,Elective I,Computer Engineering
UCS534,Computer & Network Security,3.0,Elective I,Computer Engineering
UMC513,Linear Algebra for Artificial Intelligence and Machine Learning,3.0,Elective I,Computer Engineering
UCS548,Foundation of Data Science,3.0,Elective I,Computer Engineering
UCS539,"Finance, Accounting and Valuation",3.0,Elective I,Computer Engineering
UCS537,Source Code Management,3.0,Elective I,Computer Engineering
UCS542,UI & UX Specialist,3.0,Elective I,Computer Engineering
UCS551,Conversational AI: Accelerated Data Science,3.0,Elective I,Computer Engineering
UCS547,Edge AI and Robotics: Accelerated Data Science,3.0,Elective I,Computer Engineering
UCS550,Network Defence,3.0,Elective I,Computer Engineering
UEC646,Network and Communication for Connected Vehicles,3.0,Elective I,Computer Engineering
UCS635,GPU Computing,3.0,Elective II,Computer Engineering
UCS636,3D Modelling and Animation,3.0,Elective II,Computer Engineering
UCS638,Secure Coding,3.0,Elective II,Computer Engineering
UMC632,Financial Mathematics,3.0,Elective II,Computer Engineering
UCS654,Predictive Analytics Using Statistics,3.0,Elective II,Computer Engineering
UCS675,Financial Markets and Portfolio Theory,3.0,Elective II,Computer Engineering
UCS659,Build and Release Management,3.0,Elective II,Computer Engineering
UCS661,Database Engineer,3.0,Elective II,Computer Engineering
UCS664,Conversational AI: Natural Language Processing,3.0,Elective II,Computer Engineering
UCS668,Edge AI and Robotics: Data Centre Vision,3.0,Elective II,Computer Engineering
UCS673,Ethical Hacking-1,3.0,Elective II,Computer Engineering
UCS678,Intelligent Transportation Systems,3.0,Elective II,Computer Engineering
UCS645,Parallel & Distributed Computing,3.0,Elective III,Computer Engineering
UCS646,Game Design & Development,3.0,Elective III,Computer Engineering
UCS648,Cyber Forensics,3.0,Elective III,Computer Engineering
UMC633,Mathematics for Quantum Computing,3.0,Elective III,Computer Engineering
UCS761,Deep Learning,3.0,Elective III,Computer Engineering
UCS658,"Derivatives Pricing, Trading and Strategies",3.0,Elective III,Computer Engineering
UCS660,Continuous Integration and Continuous Deployment,3.0,Elective III,Computer Engineering
UCS662,Test Automation,3.0,Elective III,Computer Engineering
UCS749,Conversational AI: Speech Processing & Synthesis,3.0,Elective III,Computer Engineering
UCS671,Edge AI and Robotics: Embedded Vision,3.0,Elective III,Computer Engineering
UCS674,Ethical Hacking-II,3.0,Elective III,Computer Engineering
UCS679,Data Analytics in Automobile Engineering,3.0,Elective III,Computer Engineering
UCS751,Simulation & Modelling,3.0,Elective IV,Computer Engineering
UCS752,Augmented and Virtual Reality,3.0,Elective IV,Computer Engineering
UCS754,Blockchain Technology and Applications,3.0,Elective IV,Computer Engineering
UMC744,Cryptography and Coding Theory,3.0,Elective IV,Computer Engineering
UCS772,Data Science: Computer Vision & NLP,3.0,Elective IV,Computer Engineering
UMC743,Quantitative and Statistical Methods for Finance,3.0,Elective IV,Computer Engineering
UCS758,System Provisioning and Configuration Management,3.0,Elective IV,Computer Engineering
UCS745,Cloud & DevOps,3.0,Elective IV,Computer Engineering
UCS748,Generative AI,3.0,Elective IV,Computer Engineering
UCS760,Edge AI and Robotics: Reinforcement Learning & Conversational AI,3.0,Elective IV,Computer Engineering
UCS750,Computer Hacking and Forensic Investigation,3.0,Elective IV,Computer Engineering
UCS762,Cyber Security for Mobility Systems,3.0,Elective IV,Computer Engineering
