code,title,credits,basket,department
UHU016,Introductory Course in French,2.0,Generic Elective,Open Elective (All Branches)
UHU017,Introduction to Cognitive Science,2.0,Generic Elective,Open Elective (All Branches)
UHU018,Introduction to Corporate Finance,2.0,Generic Elective,Open Elective (All Branches)
UCS002,Introduction to Cyber Security,2.0,Generic Elective,Open Elective (All Branches)
UPH064,Nanoscience and Nanomaterials,2.0,Generic Elective,Open Elective (All Branches)
UEN006,Technologies for Sustainable Development,2.0,Generic Elective,Open Elective (All Branches)
UMA069,Graph Theory and Applications,2.0,Generic Elective,Open Elective (All Branches)
UBT510,Biology for Engineers,2.0,Generic Elective,Open Elective (All Branches)
UMA070,Advanced Numerical Methods,2.0,Generic Elective,Open Elective (All Branches)
UTD004,Campus 2 Corporate,2.0,Generic Elective,Open Elective (All Branches)
UHUXXX,"Gender, Identity and Technology",2.0,Generic Elective,Open Elective (All Branches)
UHU051,Creative Writing,2.0,Generic Elective,Open Elective (All Branches)
